T/R 	1         	2         	3         	4         	5         	6         	7         	8         	9         	10        	11        	12        	13        	14        	15        	16        	17        	18        	19        	20        	21        	22        	23        	24        	25
32  	    0.0028118330	    0.0032855361	    0.0062490431	 9646.8628394164	1.28634507428E+5	16248.6446922440	77127.0582843395	4.13615376862E+5	2.30347210255E+7	2.58834334863E+7	1.89813100651E+7	3.11951500272E+5	4.91859816583E+5	5.48889558258E+5	2.75054503881E+7	2.80806966850E+7	2.75304039357E+7	9.82845543522E+6	4.37791352475E+6	8.34653063111E+6	2.12186961496E+7	2.07709665594E+7	1.65074893781E+7	1.57716040756E+6	3.45832565750E+6
33  	    0.0025898804	    0.0030642311	    0.0053974269	 9646.8629297922	1.28634508422E+5	    0.0359740115	77127.0581383652	4.13615376924E+5	2.64941239397E+7	2.58834334865E+7	1.89813100689E+7	3.11951500283E+5	4.91859839602E+5	5.86697260035E+5	2.75054503882E+7	2.80806966853E+7	2.75304039360E+7	9.82845543531E+6	4.37791352481E+6	8.34653063115E+6	2.12186961496E+7	2.07709665594E+7	1.65074893782E+7	1.57716040757E+6	3.45832565752E+6
34  	    0.0024089295	    0.0028788083	    0.0048344480	 9646.8630260251	1.28634509593E+5	    0.0358775830	77127.0579851870	4.13615376990E+5	2.64941239456E+7	2.58834334867E+7	1.89813100705E+7	3.11951500295E+5	4.91859869587E+5	4.03350926100E+6	2.75054503883E+7	2.80806966856E+7	2.75304039362E+7	9.82845543539E+6	4.37791352487E+6	8.34653063118E+6	2.12186961496E+7	2.07709665594E+7	1.65074893783E+7	1.57716040758E+6	3.45832565753E+6
35  	    0.0022556645	    0.0027179533	    0.0044343347	 9646.8631271628	1.28634510843E+5	    0.0335841291	77127.0578240001	4.13615377062E+5	2.64941239478E+7	2.58834334868E+7	1.89813100714E+7	3.11951500307E+5	4.91859904695E+5	7.41232769554E+6	2.75054503883E+7	2.80806966858E+7	2.75304039364E+7	9.82845543547E+6	4.37791352492E+6	8.34653063121E+6	2.12186961496E+7	2.07709665594E+7	1.65074893783E+7	1.57716040759E+6	3.45832565754E+6
36  	    0.0021224569	    0.0025750133	    0.0041252717	 9646.8632336143	1.28634512162E+5	    0.0311590994	77127.0576537652	4.13615377140E+5	2.64941239491E+7	2.58834334870E+7	1.89813100721E+7	3.11951500319E+5	4.91859945183E+5	1.07217790012E+7	2.75054503884E+7	2.80806966861E+7	2.75304039366E+7	9.82845543554E+6	4.37791352496E+6	8.34653063123E+6	2.12186961496E+7	2.07709665594E+7	1.65074893784E+7	1.57716040760E+6	3.45832565755E+6
37  	    0.0020045830	    0.0024457908	    0.0038723009	 9646.8633455789	1.28634513555E+5	    0.0288796294	77127.0574733777	4.13615377224E+5	2.64941239501E+7	2.58834334871E+7	1.89813100726E+7	3.11951500332E+5	4.91859991894E+5	1.39604618679E+7	2.75054503885E+7	2.80806966863E+7	2.75304039367E+7	9.82845543560E+6	4.37791352501E+6	8.34653063126E+6	2.12186961496E+7	2.07709665594E+7	1.65074893785E+7	1.57716040760E+6	3.45832565755E+6
38  	    0.0018989687	    0.0023275233	    0.0036564926	 9646.8634630607	1.28634515036E+5	    0.0267980320	77127.0572816496	4.13615377316E+5	2.64941239509E+7	2.58834334873E+7	1.89813100731E+7	3.11951500346E+5	4.91860047331E+5	1.71269466755E+7	2.75054503885E+7	2.80806966865E+7	2.75304039369E+7	9.82845543566E+6	4.37791352505E+6	8.34653063128E+6	2.12186961496E+7	2.07709665594E+7	1.65074893785E+7	1.57716040760E+6	3.45832565756E+6
39  	    0.0018035364	    0.0022183387	    0.0034668551	 9646.8635860134	1.28634516635E+5	    0.0249092900	77127.0570773075	4.13615377414E+5	2.64941239516E+7	2.58834334874E+7	1.89813100735E+7	3.11951500360E+5	4.91860117804E+5	2.02197749204E+7	2.75054503886E+7	2.80806966866E+7	2.75304039371E+7	9.82845543572E+6	4.37791352508E+6	8.34653063130E+6	2.12186961496E+7	2.07709665594E+7	1.65074893786E+7	1.57716040761E+6	3.45832565756E+6
40  	    0.0017168310	    0.0021169393	    0.0032966164	 9646.8637144503	1.28634518407E+5	    0.0231929374	77127.0568589737	4.13615377517E+5	2.64941239522E+7	2.58834334875E+7	1.89813100739E+7	3.11951500376E+5	4.91860221110E+5	2.32374586236E+7	2.75054503886E+7	2.80806966868E+7	2.75304039372E+7	9.82845543577E+6	4.37791352512E+6	8.34653063131E+6	2.12186961496E+7	2.07709665594E+7	1.65074893786E+7	1.57716040761E+6	3.45832565756E+6
41  	    0.0016377869	    0.0020224005	    0.0031413962	 9646.8638485346	1.28634520434E+5	    0.0216260361	77127.0566251305	4.13615377626E+5	2.64941239527E+7	2.58834334876E+7	1.89813100743E+7	3.11951500392E+5	4.91860425018E+5	2.61784796974E+7	2.75054503887E+7	2.80806966870E+7	2.75304039373E+7	9.82845543582E+6	4.37791352515E+6	8.34653063133E+6	2.12186961496E+7	2.07709665594E+7	1.65074893787E+7	1.57716040761E+6	3.45832565756E+6
42  	    0.0015655775	    0.0019340387	    0.0029982442	 9646.8639886753	1.28634522833E+5	    0.0201873772	77127.0563740412	4.13615377738E+5	2.64941239531E+7	2.58834334877E+7	1.89813100746E+7	3.11951500411E+5	1.15398648455E+6	2.83791637010E+7	2.75054503887E+7	2.80806966871E+7	2.75304039374E+7	9.82845543586E+6	4.37791352517E+6	8.34653063134E+6	2.12186961496E+7	2.07709665594E+7	1.65074893787E+7	1.57716040760E+6	3.45832565756E+6
43  	    0.0014996534	    0.0018514744	    0.0028654299	 9646.8641353804	1.28634525721E+5	    0.0188812949	77127.0561047855	4.13615377854E+5	2.64941239535E+7	2.58834334878E+7	1.89813100749E+7	3.11951500430E+5	3.93887184224E+6	2.83791639518E+7	2.75054503888E+7	2.80806966872E+7	2.75304039375E+7	9.82845543590E+6	4.37791352520E+6	8.34653063135E+6	2.12186961496E+7	2.07709665595E+7	1.65074893788E+7	1.57716040760E+6	3.45832565756E+6
44  	    0.0014393916	    0.0017742442	    0.0027413831	 9646.8642897390	1.28634529300E+5	    0.0176868526	77127.0558151865	4.13615377973E+5	2.64941239539E+7	2.58834334879E+7	1.89813100751E+7	3.11951500452E+5	6.64425869346E+6	2.83791640764E+7	2.75054503888E+7	2.80806966873E+7	2.75304039377E+7	9.82845543594E+6	4.37791352522E+6	8.34653063135E+6	2.12186961496E+7	2.07709665594E+7	1.65074893788E+7	1.57716040760E+6	3.45832565756E+6
45  	    0.0013842315	    0.0017019448	    0.0026249387	 9646.8644531562	1.28634533879E+5	    0.0165853449	77127.0555025964	4.13615378099E+5	2.64941239542E+7	2.58834334880E+7	1.89813100754E+7	3.11951500476E+5	9.26854097341E+6	2.83791641603E+7	2.75054503888E+7	2.80806966875E+7	2.75304039377E+7	9.82845543597E+6	4.37791352523E+6	8.34653063136E+6	2.12186961496E+7	2.07709665594E+7	1.65074893789E+7	1.57716040759E+6	3.45832565755E+6
46  	    0.0013336542	    0.0016342154	    0.0025152204	 9646.8646272492	1.28634539955E+5	    0.0155609198	77127.0551636911	4.13615378233E+5	2.64941239545E+7	2.58834334881E+7	1.89813100756E+7	3.11951500502E+5	1.18100802391E+7	2.83791642243E+7	2.75054503889E+7	2.80806966876E+7	2.75304039378E+7	9.82845543600E+6	4.37791352525E+6	8.34653063136E+6	2.12186961496E+7	2.07709665594E+7	1.65074893789E+7	1.57716040759E+6	3.45832565755E+6
47  	    0.0012871786	    0.0015707343	    0.0024115705	 9646.8648137229	1.28634548364E+5	    0.0145999726	77127.0547942535	4.13615378380E+5	2.64941239548E+7	2.58834334881E+7	1.89813100758E+7	3.11951500530E+5	1.42672049617E+7	2.83791642760E+7	2.75054503889E+7	2.80806966877E+7	2.75304039379E+7	9.82845543602E+6	4.37791352526E+6	8.34653063136E+6	2.12186961496E+7	2.07709665594E+7	1.65074893789E+7	1.57716040758E+6	3.45832565754E+6
48  	    0.0012443726	    0.0015112295	    0.0023135113	 9646.8650143427	1.28634560430E+5	    0.0136907300	77127.0543888953	4.13615378544E+5	2.64941239551E+7	2.58834334882E+7	1.89813100760E+7	3.11951500561E+5	1.66382098492E+7	2.83791643191E+7	2.75054503889E+7	2.80806966877E+7	2.75304039380E+7	9.82845543604E+6	4.37791352527E+6	8.34653063136E+6	2.12186961496E+7	2.07709665594E+7	1.65074893789E+7	1.57716040758E+6	3.45832565754E+6
49  	    0.0012048776	    0.0014554996	    0.0022207435	 9646.8652311153	1.28634577690E+5	    0.0128230638	77127.0539406847	4.13615378727E+5	2.64941239553E+7	2.58834334883E+7	1.89813100762E+7	3.11951500595E+5	1.89213551618E+7	2.83791643555E+7	2.75054503889E+7	2.80806966878E+7	2.75304039381E+7	9.82845543606E+6	4.37791352528E+6	8.34653063136E+6	2.12186961495E+7	2.07709665594E+7	1.65074893790E+7	1.57716040757E+6	3.45832565753E+6
50  	    0.0011684336	    0.0014034313	    0.0021331353	 9646.8654671186	1.28634601595E+5	    0.0119884240	77127.0534405975	4.13615378928E+5	2.64941239556E+7	2.58834334883E+7	1.89813100764E+7	3.11951500633E+5	2.11148660148E+7	2.83791643875E+7	2.75054503890E+7	2.80806966879E+7	2.75304039381E+7	9.82845543608E+6	4.37791352528E+6	8.34653063136E+6	2.12186961495E+7	2.07709665594E+7	1.65074893790E+7	1.57716040756E+6	3.45832565752E+6
51  	    0.0011348840	    0.0013549894	    0.0020504969	 9646.8657306609	1.28634660053E+5	    0.0111794497	77127.0528769239	4.13615379142E+5	2.64941239558E+7	2.58834334884E+7	1.89813100765E+7	3.11951500676E+5	2.32169316412E+7	2.83791644178E+7	2.75054503890E+7	2.80806966880E+7	2.75304039382E+7	9.82845543609E+6	4.37791352529E+6	8.34653063135E+6	2.12186961495E+7	2.07709665594E+7	1.65074893790E+7	1.57716040756E+6	3.45832565752E+6
52  	    0.0011041671	    0.0013101643	    0.0019725497	 9646.8660427014	1.37060747939E+6	    0.0103891814	77127.0522320027	4.13615379358E+5	2.64941239560E+7	2.58834334884E+7	1.89813100767E+7	3.11951500725E+5	2.39837320010E+7	2.83791644454E+7	2.75054503890E+7	2.80806966881E+7	2.75304039383E+7	9.82845543610E+6	4.37791352529E+6	8.34653063135E+6	2.12186961495E+7	2.07709665594E+7	1.65074893790E+7	1.57716040755E+6	3.45832565751E+6
53  	    0.0010765937	    0.0012694757	    0.0018997938	 9646.8664486514	3.29405516469E+6	    0.0096563526	77127.0515208179	4.13615379565E+5	2.64941239563E+7	2.58834334885E+7	1.89813100769E+7	3.11951500782E+5	2.39837320414E+7	2.83791644599E+7	2.75054503890E+7	2.80806966881E+7	2.75304039383E+7	9.82845543611E+6	4.37791352529E+6	8.34653063134E+6	2.12186961495E+7	2.07709665594E+7	1.65074893790E+7	1.57716040754E+6	3.45832565750E+6
54  	    0.0010522179	    0.0012329681	    0.0018317946	 9646.8670538668	5.13045371962E+6	    0.0089681472	77127.0507294717	4.13615379759E+5	2.64941239565E+7	2.58834334885E+7	1.89813100770E+7	3.11951500848E+5	2.39837320620E+7	2.83791644697E+7	2.75054503890E+7	2.80806966882E+7	2.75304039384E+7	9.82845543611E+6	4.37791352528E+6	8.34653063133E+6	2.12186961495E+7	2.07709665594E+7	1.65074893790E+7	1.57716040753E+6	3.45832565749E+6
55  	    0.0010311363	    0.0012006904	    0.0017682419	 9646.8679594880	6.87804461864E+6	    0.0083141241	77127.0498368306	4.13615379941E+5	2.64941239566E+7	2.58834334886E+7	1.89813100772E+7	3.11951500926E+5	2.39837320761E+7	2.83791644774E+7	2.75054503890E+7	2.80806966883E+7	2.75304039384E+7	9.82845543611E+6	4.37791352528E+6	8.34653063132E+6	2.12186961495E+7	2.07709665594E+7	1.65074893790E+7	1.57716040752E+6	3.45832565748E+6
