T/R 	1         	2         	3         	4         	5         	6         	7         	8         	9         	10        	11        	12        	13        	14        	15        	16        	17        	18        	19        	20        	21        	22        	23        	24        	25
42  	    0.0000495527	    0.0000452985	    0.0000467325	    0.0001864246	    0.0029226130	    0.0000404382	    0.0000386447	    0.0001566458	    0.0004416883	    0.0001355210	    0.0003259279	    0.0000739057	2.78488535773E+6	    0.2508394440	    0.0000890816	    0.0001669610	    0.0001495899	    0.0000881462	    0.0000761556	    0.0000673570	    0.0000598201	    0.0000625743	    0.0000908482	    0.0000609812	    0.0000612536
43  	    0.0000526783	    0.0000479728	    0.0000492063	    0.0001955334	    0.0036157711	    0.0000421130	    0.0000404906	    0.0001621562	    0.0004009235	    0.0001312721	    0.0003033547	    0.0000780962	2.70538685126E+6	    0.1246385615	    0.0000887524	    0.0001596081	    0.0001440006	    0.0000877295	    0.0000768036	    0.0000688189	    0.0000623037	    0.0000645818	    0.0000903471	    0.0000633235	    0.0000635260
44  	    0.0000559556	    0.0000508532	    0.0000518594	    0.0002061253	    0.0046160751	    0.0000439470	    0.0000424971	    0.0001695347	    0.0003686965	    0.0001279465	    0.0002846686	    0.0000826531	2.62428227999E+6	    0.0839979803	    0.0000887966	    0.0001537682	    0.0001395781	    0.0000877664	    0.0000778120	    0.0000705703	    0.0000649842	    0.0000668325	    0.0000902590	    0.0000658730	    0.0000660239
45  	    0.0000594342	    0.0000539938	    0.0000547799	    0.0002184321	    0.0061154497	    0.0000459952	    0.0000447283	    0.0001800592	    0.0003441678	    0.0001256081	    0.0002697679	    0.0000876521	2.54153926572E+6	    0.0639809663	    0.0000892965	    0.0001494614	    0.0001363663	    0.0000883004	    0.0000792276	    0.0000726686	    0.0000679180	    0.0000693838	    0.0000906558	    0.0000686845	    0.0000687995
46  	    0.0000631821	    0.0000574672	    0.0000580751	    0.0002325671	    0.0084509117	    0.0000483157	    0.0000472639	    0.0001947093	    0.0003261631	    0.0001242898	    0.0002583188	    0.0000932014	2.45712472264E+6	    0.0517597618	    0.0000903317	    0.0001466503	    0.0001343687	    0.0000893784	    0.0000811052	    0.0000751791	    0.0000711744	    0.0000723032	    0.0000916068	    0.0000718273	    0.0000719186
47  	    0.0000672748	    0.0000613534	    0.0000618492	    0.0002486183	    0.0121092585	    0.0000509560	    0.0000501839	    0.0002135611	    0.0003132419	    0.0001239689	    0.0002497665	    0.0000994359	2.37100488754E+6	    0.0431114914	    0.0000919615	    0.0001452143	    0.0001335221	    0.0000910363	    0.0000834948	    0.0000781625	    0.0000748217	    0.0000756551	    0.0000931618	    0.0000753714	    0.0000754472
48  	    0.0000717717	    0.0000657164	    0.0000661674	    0.0002668474	    0.0173046935	    0.0000539275	    0.0000535335	    0.0002350317	    0.0003037403	    0.0001245311	    0.0002433405	    0.0001064891	2.28314531270E+6	    0.0364801501	    0.0000941970	    0.0001449108	    0.0001336606	    0.0000932763	    0.0000864188	    0.0000816511	    0.0000789030	    0.0000794773	    0.0000953243	    0.0000793625	    0.0000794270
49  	    0.0000766993	    0.0000705860	    0.0000710252	    0.0002883330	    0.0239533577	    0.0000571941	    0.0000572836	    0.0002553861	    0.0002960205	    0.0001257784	    0.0002381907	    0.0001144678	2.19351085303E+6	    0.0320406093	    0.0000969921	    0.0001453999	    0.0001345287	    0.0000960577	    0.0000898582	    0.0000856337	    0.0000834189	    0.0000837650	    0.0000980440	    0.0000838032	    0.0000838575
50  	    0.0000821075	    0.0000760112	    0.0000763769	    0.0003183163	    0.0585075448	    0.0000607468	    0.0000613737	    0.0002699064	    0.0002894176	    0.0001275973	    0.0002339822	    0.0001235743	2.10206562646E+6	    0.0303849728	    0.0001003305	    0.0001464815	    0.0001359794	    0.0000993770	    0.0000938197	    0.0000901159	    0.0000883824	    0.0000885272	    0.0001013044	    0.0000887075	    0.0000887513
51  	    0.0000880485	    0.0000820223	    0.0000821517	    0.0003694577	1.24197281939E+6	    0.0000645297	    0.0000657803	    0.0002751657	    0.0002836874	    0.0001299198	    0.0002305889	    0.0001340522	7.66800359757E+5	    0.0275871304	    0.0001042071	    0.0001480369	    0.0001379245	    0.0001032422	    0.0000983156	    0.0000951061	    0.0000938073	    0.0000937747	    0.0001051019	    0.0000940882	    0.0000941210
52  	    0.0000942843	    0.0000884595	    0.0000880737	    0.0004660962	1.92344768536E+6	    0.0000684681	    0.0000703776	    0.0002686273	    0.0002760672	    0.0001321149	    0.0002261961	    0.0001453971	    0.0405480700	    0.0145573116	    0.0001082266	    0.0001492404	    0.0001396506	    0.0001072715	    0.0001029947	    0.0001002689	    0.0000993664	    0.0000991809	    0.0001090360	    0.0000996155	    0.0000996371
